,source,author,title,description,url,urlToImage,publishedAt,content
0,,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker","Sorry, Mouthwash Isn't a Coronavirus Cure","Mouthwash is designed to kill germs in your mouth. It is, I’d have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infections, or any other mouth-germ-y illness. We shouldn’t get …",https://vitals.lifehacker.com/sorry-mouthwash-isnt-a-coronavirus-cure-1845440818,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/wkaxtbskwr6rpgdckjzq.jpg",2020-10-21T19:45:00Z,"Mouthwash is designed to kill germs in your mouth. It is, Id have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infec… [+4209 chars]"
1,Lifehacker.com,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker","Sorry, Mouthwash Isn't a Coronavirus Cure","Mouthwash is designed to kill germs in your mouth. It is, I’d have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infections, or any other mouth-germ-y illness. We shouldn’t get …",https://vitals.lifehacker.com/sorry-mouthwash-isnt-a-coronavirus-cure-1845440818,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/wkaxtbskwr6rpgdckjzq.jpg",2020-10-21T19:45:00Z,"Mouthwash is designed to kill germs in your mouth. It is, Id have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infec… [+4209 chars]"
2,,Elizabeth Yuko,Check an Airline's Coronavirus Policies Before Booking,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that you’re as safe as possible. On top of that, there are fewer routes and flights available, travel restrictions, and other guidelines that seem to…",https://lifehacker.com/check-an-airlines-coronavirus-policies-before-booking-1845432440,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dyptlcdjxmulrrv7jpwd.jpg",2020-10-21T16:00:00Z,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that youre as safe as possible. On top of that, there are fewer routes and flights availa… [+3231 chars]"
3,Lifehacker.com,Elizabeth Yuko,Check an Airline's Coronavirus Policies Before Booking,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that you’re as safe as possible. On top of that, there are fewer routes and flights available, travel restrictions, and other guidelines that seem to…",https://lifehacker.com/check-an-airlines-coronavirus-policies-before-booking-1845432440,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dyptlcdjxmulrrv7jpwd.jpg",2020-10-21T16:00:00Z,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that youre as safe as possible. On top of that, there are fewer routes and flights availa… [+3231 chars]"
4,wired,Megan Molteni,A Global Data Effort Probes Whether Covid Causes Diabetes,Dozens of case reports have hinted that the coronavirus might trigger the onset of diabetes in people with no history of the disease.,https://www.wired.com/story/a-global-data-effort-probes-whether-covid-causes-diabetes/,"https://media.wired.com/photos/5f7d13ce941317efa4fcd4f8/191:100/w_1280,c_limit/Science-covid-diabetes-94497712.jpg",2020-10-07T11:00:00Z,"Take for example, three men who showed up at a hospital in the northern part of India weak, feverish, and without any history of diabetes. They all tested positive for SARS-CoV-2. And when their bloo… [+3903 chars]"
5,Wired,Megan Molteni,A Global Data Effort Probes Whether Covid Causes Diabetes,Dozens of case reports have hinted that the coronavirus might trigger the onset of diabetes in people with no history of the disease.,https://www.wired.com/story/a-global-data-effort-probes-whether-covid-causes-diabetes/,"https://media.wired.com/photos/5f7d13ce941317efa4fcd4f8/191:100/w_1280,c_limit/Science-covid-diabetes-94497712.jpg",2020-10-07T11:00:00Z,"Take for example, three men who showed up at a hospital in the northern part of India weak, feverish, and without any history of diabetes. They all tested positive for SARS-CoV-2. And when their bloo… [+3903 chars]"
6,,Elizabeth Yuko,Flying First Class Won't Keep You Safer from COVID,It’s been about seven months since air travel as we knew it changed amid the novel coronavirus outbreak. Now as people are slowly starting to fly again—with even more expected to take the plunge during the holiday season—the question is how to do so in the sa…,https://lifehacker.com/flying-first-class-wont-keep-you-safer-from-covid-1845318853,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/gmljeapudo1scvyuklxk.jpg",2020-10-09T14:00:00Z,Its been about seven months since air travel as we knew it changed amid the novel coronavirus outbreak. Now as people are slowly starting to fly againwith even more expected to take the plunge during… [+2744 chars]
7,Lifehacker.com,Elizabeth Yuko,Flying First Class Won't Keep You Safer from COVID,It’s been about seven months since air travel as we knew it changed amid the novel coronavirus outbreak. Now as people are slowly starting to fly again—with even more expected to take the plunge during the holiday season—the question is how to do so in the sa…,https://lifehacker.com/flying-first-class-wont-keep-you-safer-from-covid-1845318853,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/gmljeapudo1scvyuklxk.jpg",2020-10-09T14:00:00Z,Its been about seven months since air travel as we knew it changed amid the novel coronavirus outbreak. Now as people are slowly starting to fly againwith even more expected to take the plunge during… [+2744 chars]
8,,Jonathan Wolfe and Dani Blum,Coronavirus Briefing: What Happened Today,Congress tried to shield Covid-19 patients from unexpected medical charges. So why are people still receiving huge bills?,https://www.nytimes.com/2020/10/13/us/coronavirus-today.html,https://static01.nyt.com/images/2020/03/03/world/coronavirus-map-promo/coronavirus-map-promo-facebookJumbo-v1002.png,2020-10-13T21:37:51Z,"Apoorva Mandavilli, who covers science and global health for The Times, told us that these antibodies distilled from the blood of patients who have recovered from the coronavirus were most likely to … [+1379 chars]"
9,New York Times,Jonathan Wolfe and Dani Blum,Coronavirus Briefing: What Happened Today,Congress tried to shield Covid-19 patients from unexpected medical charges. So why are people still receiving huge bills?,https://www.nytimes.com/2020/10/13/us/coronavirus-today.html,https://static01.nyt.com/images/2020/03/03/world/coronavirus-map-promo/coronavirus-map-promo-facebookJumbo-v1002.png,2020-10-13T21:37:51Z,"Apoorva Mandavilli, who covers science and global health for The Times, told us that these antibodies distilled from the blood of patients who have recovered from the coronavirus were most likely to … [+1379 chars]"
